Company Name,Matched Name,Financial Year,Report End Year,Company Status,Failure Reason,Attempted URLs
Naga Dhunseri Group Ltd.,Naga Dhunseri Group Ltd,FY2022-23,2023,SUCCESS,response is not a valid PDF,https://archives.nseindia.com/annual_reports/AR_23005_NDGL_2022_2023_28082023174032_08282023180017.zip
Nalwa Sons Investments Ltd.,Nalwa Sons Investments Ltd,FY2011-12,2012,SUCCESS,response is not a valid PDF,https://archives.nseindia.com/annual_reports/AR_NSIL_2011_2012_17092012091208.zip | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2012/NALWA_SONS_INVESTMENTS-532256-MARCH-2012.PDF | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2012/NALWA_SONS_INVESTMENTS_LIMITED-532256-MARCH-2012.PDF | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2012/NALWA_SONS_INVESTMENTS_LTD-532256-MARCH-2012.PDF
Parsoli Corporation Ltd.,Parsoli Corporation Ltd,,,UNRESOLVED,No annual-report candidates discovered,
RGF Capital Markets Ltd.,,,,UNRESOLVED,No annual-report candidates discovered,
RR Financial Consultants Ltd.,,,,UNRESOLVED,No annual-report candidates discovered,
Rama Finance Ltd.,,,,UNRESOLVED,No annual-report candidates discovered,
SP Capital Financing Ltd.,,,,UNRESOLVED,No annual-report candidates discovered,
STL Investments Ltd.,,,,UNRESOLVED,No annual-report candidates discovered,
Sahara Housingfina Corporation Ltd.,,,,UNRESOLVED,No annual-report candidates discovered,
Stanrose Mafatlal Investments & Finance Ltd.,,,,UNRESOLVED,No annual-report candidates discovered,
Sunshine Capital Ltd.,Sunshine Capital Ltd,FY2021-22,2022,SUCCESS,response is not a valid PDF,https://www.bseindia.com/bseplus/AnnualReport/539574/75464539574.pdf | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2022/SUNSHINE_CAPITAL-539574-MARCH-2022.PDF | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2022/SUNSHINE_CAPITAL_LIMITED-539574-MARCH-2022.PDF | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2022/SUNSHINE_CAPITAL_LTD-539574-MARCH-2022.PDF
UV Fincorp Ltd.,,,,UNRESOLVED,No annual-report candidates discovered,
